City,State,Zipcode,Rank,Score,Superzip,Population,College,Income,Lat,Long
Lafitte,LA,70067,19058,13.03475,0,2339,5.89996,54.32032,29.827368347244782,-90.10920088254214
La Place,LA,70068,10261,41.12981,0,17917,15.075070000000002,63.36891,30.065875525345472,-90.52182115686811
Luling,LA,70070,5754,62.42086,0,7025,20.59786,78.87444,29.943409887523696,-90.3499975835331
Lutcher,LA,70071,14574,25.84706,0,2470,11.90283,55.89206,30.037059855835214,-90.73050250989512
Marrero,LA,70072,16152,20.84219,0,35080,9.88883,55.24871,29.819644346372872,-90.09102173900561
Meraux,LA,70075,10886,38.59163,0,5387,9.41155,70.88107,29.93239908274784,-89.91761797168677
Mount Airy,LA,70076,NA,26.70698,0,212,29.71698,25.8251,30.057075971373916,-90.65056667215518
Norco,LA,70079,16869,18.79426,0,2367,5.70342,60.73279,29.973647508811855,-90.41024877545514
Paradis,LA,70080,21284,7.237653,0,897,4.90524,48.76956,29.892219060700185,-90.38618560196211
Pointe A la Hache,LA,70082,NA,0.0026047,0,461,0,18.42539,29.585762058876956,-89.81435585552101
Port Sulphur,LA,70083,22577,4.042,0,2389,5.02302,42.21979,29.502927532652766,-89.68889751946509
Reserve,LA,70084,17119,18.13838,0,4495,8.45384,55.32848,30.056674112524426,-90.58621927521071
Saint Bernard,LA,70085,23155,2.357788,0,4809,3.16074,41.0351,29.816650785987164,-89.77638263192674
Saint James,LA,70086,19992,10.45138,0,1235,11.25506,42.1701,30.034137565274396,-90.88493146746896
Saint Rose,LA,70087,18628,14.06528,0,3969,9.34744,49.53843,29.947647232920257,-90.33676002470887
Vacherie,LA,70090,16392,20.24678,0,4374,10.76818,53.18401,29.988222673633047,-90.76168483692308
Venice,LA,70091,NA,3.95832,0,294,5.10204,41.8432,29.279063075968683,-89.36970525209003
Violet,LA,70092,19993,10.44914,0,6592,6.416870000000001,50.50605,29.89903775679217,-89.90047806416175
Westwego,LA,70094,22643,3.842226,0,20592,5.18162,41.50061,29.92185173834472,-90.20193815743609
New Orleans,LA,70112,23300,1.897415,0,3096,21.35013,7.954131,29.958928373444355,-90.0721361154113
New Orleans,LA,70113,23901,0.0949988,0,6085,5.66968,20.01413,29.94506137533454,-90.07838462538619
New Orleans,LA,70114,20996,8.055952,0,16275,14.32873,33.57001,29.929970261919795,-90.02186487568649
New Orleans,LA,70115,5951,61.31621,0,27180,38.65342,45.98568,29.938811913063407,-90.11829748430286
New Orleans,LA,70116,16276,20.54696,0,11615,25.312099999999997,28.3893,29.968466546301073,-90.06255363741938
New Orleans,LA,70117,23142,2.398574,0,30047,10.62336,28.40238,29.969505603034676,-90.01414760143757
New Orleans,LA,70118,5665,62.87612,0,22211,38.49444,48.67672,29.94707615334186,-90.12370536679992
New Orleans,LA,70119,20841,8.436852,0,32320,16.08602,31.15488,29.973604522783003,-90.102957334105
